budget,popularity,revenue,runtime,title,vote average
237000000,150.437577,2787965087,162,Avatar,7.2
300000000,139.082615,961000000,169,Pirates of the Caribbean: At World's End,6.9
245000000,107.376788,880674609,148,Spectre,6.3
250000000,112.31295,1084939099,165,The Dark Knight Rises,7.6
260000000,43.926995,284139100,132,John Carter,6.1
258000000,115.699814,890871626,139,Spider-Man 3,5.9
260000000,48.681969,591794936,100,Tangled,7.4
280000000,134.279229,1405403694,141,Avengers: Age of Ultron,7.3
250000000,98.885637,933959197,153,Harry Potter and the Half-Blood Prince,7.4
250000000,155.790452,873260194,151,Batman v Superman: Dawn of Justice,5.7
270000000,57.925623,391081192,154,Superman Returns,5.4
200000000,107.928811,586090727,106,Quantum of Solace,6.1
200000000,145.847379,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7
255000000,49.046956,89289910,149,The Lone Ranger,5.9
225000000,99.398009,662845518,143,Man of Steel,6.5
225000000,53.978602,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3
220000000,144.448633,1519557910,143,The Avengers,7.4
380000000,135.413856,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4
225000000,52.035179,624026776,106,Men in Black 3,6.2
250000000,120.965743,956019788,144,The Hobbit: The Battle of the Five Armies,7.1
215000000,89.866276,752215857,136,The Amazing Spider-Man,6.5
200000000,37.668301,310669540,140,Robin Hood,6.2
250000000,94.370564,958400000,161,The Hobbit: The Desolation of Smaug,7.6
180000000,42.990906,372234864,113,The Golden Compass,5.8
207000000,61.22601,550000000,187,King Kong,6.6
200000000,100.025899,1845034188,194,Titanic,7.5
250000000,198.372395,1153304495,147,Captain America: Civil War,7.1
209000000,64.928382,303025485,131,Battleship,5.5
150000000,418.708552,1513528810,124,Jurassic World,6.5
200000000,93.004993,1108561013,143,Skyfall,6.9
200000000,35.149586,783766341,127,Spider-Man 2,6.7
200000000,77.68208,1215439994,130,Iron Man 3,6.8
200000000,78.530105,1025491110,108,Alice in Wonderland,6.4
210000000,3.857526,459359555,104,X-Men: The Last Stand,6.3
200000000,89.186492,743559607,104,Monsters University,7
150000000,21.939663,836297228,150,Transformers: Revenge of the Fallen,6
210000000,116.840296,1091405097,165,Transformers: Age of Extinction,5.8
200000000,46.985445,491868548,130,Oz: The Great and Powerful,5.7
200000000,89.270217,705717432,142,The Amazing Spider-Man 2,6.5
170000000,73.79505,400062763,125,TRON: Legacy,6.3
200000000,49.98659,559852396,106,Cars 2,5.8
200000000,51.872839,219851172,114,Green Lantern,5.1
200000000,59.995418,1066969703,103,Toy Story 3,7.6
200000000,71.862892,371353001,115,Terminator Salvation,5.9
190000000,102.322217,1506249360,137,Furious 7,7.3
200000000,81.834855,531865000,116,World War Z,6.7
250000000,118.078691,747862775,131,X-Men: Days of Future Past,7.5
190000000,78.291018,467365246,132,Star Trek Into Darkness,7.4
195000000,43.349855,197687603,114,Jack the Giant Slayer,5.5
105000000,61.196071,351040419,143,The Great Gatsby,7.3
150000000,62.169881,335154643,116,Prince of Persia: The Sands of Time,6.2
180000000,56.523205,407602906,131,Pacific Rim,6.7
195000000,28.529607,1123746996,154,Transformers: Dark of the Moon,6.1
185000000,75.674458,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7
175000000,51.692953,331926147,93,The Good Dinosaur,6.6
185000000,125.114374,538983207,93,Brave,6.7
185000000,65.352913,343471816,122,Star Trek Beyond,6.6
180000000,66.390712,521311860,98,WALL·E,7.8
140000000,22.57178,258022233,91,Rush Hour 3,6.1
200000000,45.274225,769653595,158,2012,5.6
200000000,39.744242,325233863,96,A Christmas Carol,6.6
176000003,85.36908,183987723,124,Jupiter Ascending,5.2
180000000,42.741719,356743061,109,The Legend of Tarzan,5.5
180000000,67.391328,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7
178000000,139.272042,543934787,144,X-Men: Apocalypse,6.4
185000000,187.322927,1004558444,152,The Dark Knight,8.2
175000000,92.201962,735099082,96,Up,7.7
175000000,36.167578,381509870,94,Monsters vs Aliens,6
140000000,120.725053,585174222,126,Iron Man,7.4
170000000,32.319043,185770160,126,Hugo,7
170000000,40.748915,222104681,106,Wild Wild West,5.1
145000000,60.034162,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2
175000000,90.23792,745000000,123,Suicide Squad,5.9
175000000,27.082182,173000000,96,Evan Almighty,5.3
178000000,79.456485,370541256,113,Edge of Tomorrow,7.6
175000000,44.640292,264218220,135,Waterworld,5.9
175000000,32.852443,302469017,118,G.I. Joe: The Rise of Cobra,5.6
175000000,128.655964,857611174,94,Inside Out,8
175000000,94.199316,966550600,106,The Jungle Book,6.7
200000000,77.300194,623933331,124,Iron Man 2,6.6
170000000,77.178973,396600000,127,Snow White and the Huntsman,5.8
180000000,110.620647,758539785,97,Maleficent,7
170000000,243.791743,710644566,130,Dawn of the Planet of the Apes,7.3
27000000,2.418535,0,109,The Lovers,4.8
175000000,41.796339,150962475,119,47 Ronin,5.9
170000000,72.225265,714766572,136,Captain America: The Winter Soldier,7.6
165000000,44.041186,752600867,93,Shrek Forever After,6
190000000,130.311355,209154322,130,Tomorrowland,6.2
165000000,203.73459,652105443,102,Big Hero 6,7.8
165000000,62.341073,471222889,108,Wreck-It Ralph,7.1
165000000,47.323228,305875730,100,The Polar Express,6.4
165000000,48.775723,389681935,120,Independence Day: Resurgence,4.9
165000000,67.263269,494878759,98,How to Train Your Dragon,7.5
200000000,69.405188,435000000,109,Terminator 3: Rise of the Machines,5.9
170000000,481.098624,773328629,121,Guardians of the Galaxy,7.9
165000000,724.247784,675120017,169,Interstellar,8.1
160000000,167.58371,825532764,148,Inception,8.1
15000000,9.476999,77000000,120,Shin Godzilla,6.5
250000000,108.849621,1021103568,169,The Hobbit: An Unexpected Journey,7
38000000,6.909942,207283925,106,The Fast and the Furious,6.6
150000000,60.269279,333932083,166,The Curious Case of Benjamin Button,7.3
160000000,3.195174,353624124,132,X-Men: First Class,7.1
160000000,127.284427,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6
150000000,35.580815,215283742,109,The Sorcerer's Apprentice,5.8
160000000,21.133748,181674817,99,Poseidon,5.5
170000000,56.268916,299370084,113,Alice Through the Looking Glass,6.5
160000000,42.986467,798958165,93,Shrek the Third,6
160000000,63.148529,433677183,123,Warcraft,6.3
155000000,202.042635,440603537,126,Terminator Genisys,5.8
155000000,49.661984,415686217,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2
140000000,34.20669,449220945,183,Pearl Harbor,6.6
150000000,25.468493,709709780,144,Transformers,6.6
155000000,39.019229,167298192,175,Alexander,5.6
150000000,78.144395,938212738,138,Harry Potter and the Order of the Phoenix,7.4
150000000,101.250416,895921036,157,Harry Potter and the Goblet of Fire,7.5
150000000,56.758411,624029371,92,Hancock,6.2
150000000,70.867401,585349010,101,I Am Legend,6.9
150000000,53.905592,474968763,115,Charlie and the Chocolate Factory,6.7
150000000,65.677399,623722818,111,Ratatouille,7.5
150000000,115.040024,374218673,140,Batman Begins,7.5
150000000,44.141021,603900354,89,Madagascar: Escape 2 Africa,6.2
150000000,81.781591,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9
150000000,5.954334,373062864,107,X-Men Origins: Wolverine,6.2
150000000,73.313918,424988211,129,The Matrix Revolutions,6.4
150000000,165.125366,1274219009,102,Frozen,7.3
150000000,70.78591,738599701,138,The Matrix Reloaded,6.7
170000000,99.499595,644571402,112,Thor: The Dark World,6.8
150000000,434.278564,378858340,120,Mad Max: Fury Road,7.2
150000000,67.447636,356613439,138,Angels & Demons,6.5
150000000,86.493424,449326618,115,Thor,6.6
150000000,41.845878,309979994,98,Bolt,6.3
150000000,26.710398,292817841,88,G-Force,5.1
150000000,44.927635,301000000,99,Wrath of the Titans,5.5
150000000,50.306728,245527149,113,Dark Shadows,5.7
150000000,114.522237,682330139,131,Mission: Impossible - Rogue Nation,7.1
150000000,21.214571,0,102,The Wolfman,5.5
150000000,29.332905,287594577,91,Bee Movie,5.7
150000000,51.247321,665692281,91,Kung Fu Panda 2,6.7
150000000,33.769336,318502923,103,The Last Airbender,4.7
150000000,63.079003,397850012,126,Mission: Impossible III,6.5
150000000,39.004588,205366737,131,White House Down,6.4
150000000,12.362599,38992758,88,Mars Needs Moms,5.5
149000000,22.550135,64459316,85,Flushed Away,6
150000000,48.03528,128388320,111,Pan,5.9
145000000,38.73494,272912430,92,Mr. Peabody & Sherman,6.7
175000000,66.803149,497409852,163,Troy,6.9
145000000,44.989192,746921274,93,Madagascar 3: Europe's Most Wanted,6.4
140000000,54.159392,431971116,133,Die Another Day,5.8
144000000,66.21806,229147509,116,Ghostbusters,5.3
140000000,58.485967,553799566,151,Armageddon,6.4
140000000,91.332849,441818803,88,Men in Black II,6
70000000,35.601665,195735876,115,Beowulf,5.5
145000000,56.747978,521170825,95,Kung Fu Panda 3,6.7
145000000,77.77477,694713380,133,Mission: Impossible - Ghost Protocol,6.8
145000000,61.788035,306941670,97,Rise of the Guardians,7.1
100000000,25.159168,202026112,90,Fun with Dick and Jane,5.9
140000000,52.341226,456758981,154,The Last Samurai,7.3
140000000,101.599427,268031828,150,Exodus: Gods and Kings,5.6
